u1,u2,label
0,19038,1.0
0,29568,1.0
0,18103,1.0
0,18375,1.0
0,25197,1.0
1,18133,1.0
1,37959,1.0
1,12275,1.0
1,19354,1.0
1,38774,1.0
2,32878,1.0
2,15787,1.0
2,29653,1.0
2,35874,1.0
2,32123,1.0
3,16171,1.0
3,15267,1.0
3,20230,1.0
3,29157,1.0
3,28980,1.0
4,14149,1.0
4,4622,1.0
4,33210,1.0
4,33183,1.0
4,25993,1.0
5,23501,1.0
5,5220,1.0
5,2442,1.0
5,16769,1.0
5,26012,1.0
6,9984,1.0
6,36786,1.0
6,11185,1.0
6,29709,1.0
6,10845,1.0
7,6778,1.0
7,22203,1.0
7,9822,1.0
7,19027,1.0
7,22713,1.0
8,15739,1.0
8,25878,1.0
8,12319,1.0
8,1520,1.0
8,2288,1.0
9,37253,1.0
9,12283,1.0
9,8165,1.0
9,5834,1.0
9,9441,1.0
10,15529,1.0
10,16440,1.0
10,34493,1.0
10,33752,1.0
10,4614,1.0
11,31802,1.0
11,14236,1.0
11,33632,1.0
11,20766,1.0
11,9320,1.0
12,31519,1.0
12,37016,1.0
12,5987,1.0
12,31213,1.0
12,7206,1.0
13,25342,1.0
13,35139,1.0
13,8588,1.0
13,16384,1.0
13,17686,1.0
14,7351,1.0
14,26687,1.0
14,35394,1.0
14,10469,1.0
14,37264,1.0
15,1812,1.0
15,4314,1.0
15,11225,1.0
15,6796,1.0
15,28264,1.0
16,17511,1.0
16,17213,1.0
16,33019,1.0
16,13972,1.0
16,18729,1.0
17,26315,1.0
17,23126,1.0
17,26589,1.0
17,24281,1.0
17,7880,1.0
18,18833,1.0
18,1140,1.0
18,30500,1.0
18,11600,1.0
18,17603,1.0
19,23119,1.0
19,8073,1.0
19,9022,1.0
19,6539,1.0
19,13163,1.0
20,32790,1.0
20,30712,1.0
20,21579,1.0
20,8722,1.0
20,3485,1.0
21,25589,1.0
21,15954,1.0
21,3155,1.0
21,24756,1.0
21,14601,1.0
22,26464,1.0
22,4259,1.0
22,41,1.0
22,35522,1.0
22,23297,1.0
23,34807,1.0
23,3121,1.0
23,36279,1.0
23,17079,1.0
23,16326,1.0
24,10421,1.0
24,22850,1.0
24,16400,1.0
24,25725,1.0
24,9729,1.0
25,2799,1.0
25,31734,1.0
25,8145,1.0
25,13728,1.0
25,27623,1.0
28,21236,1.0
28,29987,1.0
28,330,1.0
28,19661,1.0
28,9920,1.0
29,141,1.0
29,6060,1.0
29,46,1.0
29,37138,1.0
29,30900,1.0
30,19173,1.0
30,37690,1.0
30,33228,1.0
30,10012,1.0
30,32699,1.0
31,637,1.0
31,27471,1.0
31,24292,1.0
31,28190,1.0
31,3272,1.0
32,25805,1.0
32,23167,1.0
32,37796,1.0
32,29425,1.0
32,37017,1.0
33,3584,1.0
33,15941,1.0
33,5628,1.0
33,9235,1.0
33,27328,1.0
34,9865,1.0
34,32446,1.0
34,26040,1.0
34,27129,1.0
34,35195,1.0
35,30079,1.0
35,9822,1.0
35,32670,1.0
35,22203,1.0
35,4220,1.0
36,13364,1.0
36,34417,1.0
36,10193,1.0
36,27830,1.0
36,28914,1.0
37,947,1.0
37,39166,1.0
37,6563,1.0
37,23530,1.0
37,5929,1.0
38,25984,1.0
38,21410,1.0
38,5630,1.0
38,14608,1.0
38,3410,1.0
39,20374,1.0
39,34196,1.0
39,18815,1.0
39,36782,1.0
39,16182,1.0
40,479,1.0
40,31906,1.0
40,11662,1.0
40,5183,1.0
40,34300,1.0
41,14536,1.0
41,30092,1.0
41,1746,1.0
41,27017,1.0
