u1,u2,label
0,11038,1.0
0,5764,1.0
0,38422,1.0
0,38827,1.0
0,33021,1.0
1,35105,1.0
1,2864,1.0
1,39378,1.0
1,11690,1.0
1,23086,1.0
2,638,1.0
2,32238,1.0
2,26207,1.0
2,23897,1.0
2,23808,1.0
3,8692,1.0
3,20404,1.0
3,30271,1.0
3,28443,1.0
3,1931,1.0
4,16474,1.0
4,28178,1.0
4,20929,1.0
4,7464,1.0
4,13835,1.0
5,21078,1.0
5,15942,1.0
5,12880,1.0
5,31814,1.0
5,18876,1.0
6,17064,1.0
6,30825,1.0
6,39328,1.0
6,32445,1.0
6,7380,1.0
7,31769,1.0
7,25054,1.0
7,8333,1.0
7,15326,1.0
7,1924,1.0
8,13559,1.0
8,20903,1.0
8,17559,1.0
8,37532,1.0
8,26414,1.0
9,26692,1.0
9,16816,1.0
9,16221,1.0
9,34761,1.0
9,1686,1.0
10,22848,1.0
10,7760,1.0
10,10739,1.0
10,9700,1.0
10,26843,1.0
11,1752,1.0
11,34997,1.0
11,24019,1.0
11,37441,1.0
11,38313,1.0
12,35841,1.0
12,30212,1.0
12,35434,1.0
12,7515,1.0
12,11199,1.0
13,29267,1.0
13,12894,1.0
13,16834,1.0
13,4733,1.0
13,6214,1.0
14,7779,1.0
14,12269,1.0
14,12776,1.0
14,28426,1.0
14,20967,1.0
15,11856,1.0
15,20830,1.0
15,2499,1.0
15,25835,1.0
15,9338,1.0
16,18795,1.0
16,7992,1.0
16,526,1.0
16,15953,1.0
16,2897,1.0
17,9314,1.0
17,4756,1.0
17,28396,1.0
17,16518,1.0
17,22938,1.0
18,16715,1.0
18,5503,1.0
18,4756,1.0
18,16259,1.0
18,24148,1.0
19,32515,1.0
19,467,1.0
19,18786,1.0
19,18285,1.0
19,9242,1.0
20,30636,1.0
20,31803,1.0
20,13578,1.0
20,20461,1.0
20,1633,1.0
21,3189,1.0
21,13401,1.0
21,17018,1.0
21,1416,1.0
21,19654,1.0
22,24981,1.0
22,26877,1.0
22,16542,1.0
22,2495,1.0
22,15889,1.0
23,24104,1.0
23,32320,1.0
23,31888,1.0
23,37,1.0
23,9157,1.0
24,17075,1.0
24,22922,1.0
24,4621,1.0
24,14686,1.0
24,4363,1.0
25,7258,1.0
25,24462,1.0
25,27112,1.0
25,12385,1.0
25,2181,1.0
26,35424,1.0
26,12246,1.0
26,31736,1.0
26,20015,1.0
26,27497,1.0
27,26046,1.0
27,12587,1.0
27,25045,1.0
27,19038,1.0
27,32558,1.0
28,32978,1.0
28,851,1.0
28,1785,1.0
28,12370,1.0
28,20358,1.0
29,38422,1.0
29,20928,1.0
29,24843,1.0
29,22280,1.0
29,1498,1.0
30,27643,1.0
30,22901,1.0
30,10403,1.0
30,28683,1.0
30,5007,1.0
31,38716,1.0
31,28212,1.0
31,33376,1.0
31,3779,1.0
31,17911,1.0
32,21565,1.0
32,6727,1.0
32,9835,1.0
32,28479,1.0
32,26994,1.0
33,5183,1.0
33,21780,1.0
33,23862,1.0
33,16760,1.0
33,3696,1.0
34,15973,1.0
34,19088,1.0
34,23181,1.0
34,23978,1.0
34,3954,1.0
35,35901,1.0
35,29552,1.0
35,15371,1.0
35,10622,1.0
35,21047,1.0
36,9055,1.0
36,15199,1.0
36,29955,1.0
36,36141,1.0
36,1595,1.0
37,8144,1.0
37,31888,1.0
37,38627,1.0
37,9157,1.0
37,32320,1.0
38,24022,1.0
38,15173,1.0
38,16853,1.0
38,37688,1.0
38,6704,1.0
39,23484,1.0
39,31103,1.0
39,21810,1.0
39,1223,1.0
39,6577,1.0
40,5439,1.0
40,36658,1.0
40,2635,1.0
40,32390,1.0
40,36254,1.0
41,31113,1.0
41,5316,1.0
41,32171,1.0
41,9910,1.0
41,27623,1.0
42,1551,1.0
42,16833,1.0
42,10583,1.0
42,27215,1.0
42,8165,1.0
43,18401,1.0
43,9348,1.0
43,14405,1.0
43,35382,1.0
43,38465,1.0
44,34735,1.0
44,38639,1.0
44,29452,1.0
44,16484,1.0
44,14177,1.0
45,17762,1.0
45,4759,1.0
45,12272,1.0
45,20218,1.0
45,13339,1.0
46,29872,1.0
46,4383,1.0
46,35475,1.0
46,31286,1.0
46,22792,1.0
47,28172,1.0
47,4983,1.0
47,30816,1.0
47,33249,1.0
47,1511,1.0
48,20680,1.0
48,37252,1.0
48,37093,1.0
48,12581,1.0
48,4014,1.0
49,17598,1.0
49,1536,1.0
49,36519,1.0
49,19929,1.0
49,33613,1.0
50,29918,1.0
50,21581,1.0
50,5361,1.0
50,32362,1.0
50,28127,1.0
51,31311,1.0
51,27436,1.0
51,26,1.0
51,14180,1.0
51,13606,1.0
52,2112,1.0
52,6585,1.0
52,22931,1.0
52,30601,1.0
52,20584,1.0
53,27091,1.0
53,3725,1.0
53,8283,1.0
53,10286,1.0
53,1611,1.0
54,24784,1.0
54,35583,1.0
54,1435,1.0
54,35810,1.0
54,32052,1.0
55,10714,1.0
55,25657,1.0
55,35082,1.0
55,35786,1.0
55,4950,1.0
56,6599,1.0
56,10383,1.0
56,13510,1.0
56,5724,1.0
56,4151,1.0
57,12071,1.0
57,17581,1.0
57,14947,1.0
57,237,1.0
57,29628,1.0
58,5865,1.0
58,11575,1.0
58,36426,1.0
58,32564,1.0
58,33668,1.0
59,13751,1.0
59,31124,1.0
59,1652,1.0
59,35423,1.0
59,34514,1.0
60,6392,1.0
60,26099,1.0
60,18842,1.0
60,3859,1.0
60,35044,1.0
61,6951,1.0
61,35323,1.0
61,29320,1.0
61,10923,1.0
61,6414,1.0
62,8348,1.0
62,22914,1.0
62,19312,1.0
62,14686,1.0
62,36244,1.0
63,22286,1.0
63,13416,1.0
63,28027,1.0
63,11963,1.0
63,23076,1.0
64,16985,1.0
64,25263,1.0
64,8160,1.0
64,35307,1.0
64,3698,1.0
65,18824,1.0
65,15580,1.0
65,37974,1.0
65,2370,1.0
65,35946,1.0
66,23529,1.0
66,13807,1.0
66,3512,1.0
66,19316,1.0
66,12499,1.0
67,1377,1.0
67,30643,1.0
67,20355,1.0
67,36881,1.0
67,38736,1.0
68,5018,1.0
68,24517,1.0
68,27771,1.0
68,36396,1.0
68,20816,1.0
69,8676,1.0
69,16991,1.0
69,2989,1.0
69,18063,1.0
69,29084,1.0
70,21216,1.0
70,16914,1.0
70,12529,1.0
70,1040,1.0
70,11186,1.0
71,37939,1.0
71,22914,1.0
71,12574,1.0
71,129,1.0
71,12282,1.0
72,12303,1.0
72,20579,1.0
72,31475,1.0
72,11785,1.0
72,14212,1.0
73,8915,1.0
73,34083,1.0
73,37094,1.0
73,29643,1.0
73,37329,1.0
74,4204,1.0
74,739,1.0
74,8114,1.0
74,7446,1.0
74,36113,1.0
75,19162,1.0
75,25934,1.0
75,4318,1.0
75,19161,1.0
75,8857,1.0
76,27654,1.0
76,26454,1.0
76,18336,1.0
76,1928,1.0
76,8520,1.0
77,22045,1.0
77,11196,1.0
77,10077,1.0
77,18993,1.0
77,28361,1.0
78,364,1.0
78,34598,1.0
78,15886,1.0
78,20265,1.0
78,17306,1.0
79,30319,1.0
79,8077,1.0
79,30199,1.0
79,37142,1.0
79,20434,1.0
80,23265,1.0
80,5942,1.0
80,31014,1.0
80,6179,1.0
80,4142,1.0
81,21527,1.0
81,6990,1.0
81,11015,1.0
81,38092,1.0
81,30122,1.0
82,3826,1.0
82,22871,1.0
82,20861,1.0
82,19127,1.0
82,11595,1.0
83,10908,1.0
83,20536,1.0
83,11000,1.0
83,5774,1.0
83,10666,1.0
84,13685,1.0
84,3657,1.0
84,25765,1.0
84,30072,1.0
84,5529,1.0
85,9085,1.0
85,28863,1.0
85,36330,1.0
85,15112,1.0
85,11399,1.0
86,9717,1.0
86,6969,1.0
86,669,1.0
86,25451,1.0
86,29424,1.0
87,7626,1.0
87,36694,1.0
87,15061,1.0
87,16382,1.0
87,23561,1.0
88,21113,1.0
88,7823,1.0
88,37328,1.0
88,28246,1.0
88,28200,1.0
89,33649,1.0
89,4724,1.0
89,23250,1.0
89,15225,1.0
89,38344,1.0
90,13662,1.0
90,36647,1.0
90,13321,1.0
90,10145,1.0
90,38331,1.0
91,24712,1.0
91,6997,1.0
91,8723,1.0
91,14689,1.0
91,10071,1.0
92,17743,1.0
92,31288,1.0
92,6790,1.0
92,23098,1.0
92,37506,1.0
93,14245,1.0
93,12198,1.0
93,8290,1.0
93,38700,1.0
93,15616,1.0
94,20628,1.0
94,3947,1.0
94,8524,1.0
94,25168,1.0
94,20292,1.0
95,34303,1.0
95,32403,1.0
95,21598,1.0
95,19756,1.0
95,24214,1.0
96,17915,1.0
96,32779,1.0
96,18743,1.0
96,17509,1.0
96,2599,1.0
97,2156,1.0
97,15786,1.0
97,18409,1.0
97,17526,1.0
97,8794,1.0
98,24123,1.0
98,24130,1.0
98,17413,1.0
98,26751,1.0
98,36436,1.0
100,15567,1.0
100,17621,1.0
100,37304,1.0
100,33738,1.0
100,32185,1.0
102,9461,1.0
102,3882,1.0
102,6997,1.0
102,24712,1.0
102,24320,1.0
103,32795,1.0
103,29601,1.0
103,20660,1.0
103,31105,1.0
103,6214,1.0
104,37524,1.0
104,10271,1.0
104,24245,1.0
104,21253,1.0
104,18348,1.0
105,9730,1.0
105,6450,1.0
105,27315,1.0
105,6997,1.0
